username,video_id,title,webpage_url,upload_date,timestamp,duration,view_count,like_count,comment_count,repost_count,thumbnail,collected_at
verena.stoerchle,6772961488605826309,this is too tuff to not go viral #viral #fyp #foryou #foryoupage #win...,https://www.tiktok.com/@verena.stoerchle/video/6772961488605826309,20191221,1576952985,11,28400,614,4,13,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/f2a0a9ba399a4a1ab257d9167ba32636_1576952990~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=KyR8nrKIMFqdBxqP54Uu9ONKgN0%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6772324700744879365,"day 1, of going 10%😭 #viral #fyp #foryou #foryoupage #SpotifyWrapped ...",https://www.tiktok.com/@verena.stoerchle/video/6772324700744879365,20191220,1576804723,14,20000,500,6,24,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/6b17fe58b2894cbfa0023977004de683_1576804725~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=cg%2BjNV71HErZLx3QXAtempUfXUg%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6770720637636840709,pretty much did this by myself #viral #fyp #foryou #somisunderstood #...,https://www.tiktok.com/@verena.stoerchle/video/6770720637636840709,20191215,1576431246,10,27700,544,3,21,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/2009cf35f0ad4f4f902d24968a9a1c2e_1576431249~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=hboHjfTRm%2Fsk%2FfbtV6XYG14Vq6I%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6770415818489597189,*learns stupid dances so my page doesn’t die* #viral #foryou #foryoup...,https://www.tiktok.com/@verena.stoerchle/video/6770415818489597189,20191214,1576360276,11,28000,592,7,20,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/012c8ad55f684ea89d6c2c956594ca33_1576360281~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=Eu34xyl7pDEzmEVj9yBb9SLsteY%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6769329993924234502,16* but 🤷🏽‍♀️ #viral #fyp #foryou #foryoupage #everwonder #SyrupTurnU...,https://www.tiktok.com/@verena.stoerchle/video/6769329993924234502,20191211,1576107463,13,1300000,132000,1001,9620,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/5b9257b9f8d1490981ef45240fe8aad3_1576107465~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=oFPm6em%2BtDyfpOJPo06MSHna2ME%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6765151969511247110,this entertained me #greenscreen #viral #fyp #foryou #foryoupage #gam...,https://www.tiktok.com/@verena.stoerchle/video/6765151969511247110,20191130,1575134689,14,45900,822,8,29,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/8019629c961f4cf1a4895a8d499ba599_1575134693~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=Zk6O0NnXCjfDCoOlnCorVijw3kQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6764081138265836806,#greenscreen #viral #foryou #fyp #travel #CurlMagic #rainbowmode,https://www.tiktok.com/@verena.stoerchle/video/6764081138265836806,20191127,1574885367,9,731400,70400,216,5151,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/40924fbc7bf34cfaa0249249375420fc_1574885372~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=zUnQx6Oz%2FxbrJECIdKj7CRfQNno%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6762697758890544389,the only dance i know how to do #fyp #viral #foryou #foryoupage #best...,https://www.tiktok.com/@verena.stoerchle/video/6762697758890544389,20191124,1574563275,15,28300,302,4,14,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/b749d611a9484d3f8ccf34540cf03be9_1574563278~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=%2FbyimTA57LlVSWHOcHCftO7BDmM%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6760806161034792198,this actually took me 20 min to make #truthordare #BornToGlow #viral ...,https://www.tiktok.com/@verena.stoerchle/video/6760806161034792198,20191119,1574122854,9,27900,452,4,65,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/0a01d709d0684b928360b48996ae8cae_1574122857~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=G%2B5L0RGau5U1gRyHdA0XrkdzAws%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6760467452796161285,how it really be sometimes #BornToGlow #DealDropDance #viral #foryour...,https://www.tiktok.com/@verena.stoerchle/video/6760467452796161285,20191118,1574043993,6,28900,1197,5,45,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/f1b50dfdfd904f7ab6312bac9b23217d_1574043997~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=lLLQ%2Fu7L8uspr%2B6WmlUcrSXsKFE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6758234521222614278,i promise i only invest my time when i’m bored #checkthedrip #crushed...,https://www.tiktok.com/@verena.stoerchle/video/6758234521222614278,20191112,1573524098,14,33600,2759,42,88,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/6f912e406043447c9138e202c0759e0f_1573524101~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=gt5clpvvHKJchd2suNCGfesTZw0%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6757850363728022789,made the canopy work #checkthedrip #thingsthathappened #makeitlegenda...,https://www.tiktok.com/@verena.stoerchle/video/6757850363728022789,20191111,1573434654,14,19300,345,1,6,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/d7546513255847419c66e421d7e1c70e_1573434659~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=6KNxlXSL%2BHNiiqhIabsi00OCnhs%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6754869146745359622,i totally hacked this #checkthedrip #dramaticdance #holidayszn #fyp #...,https://www.tiktok.com/@verena.stoerchle/video/6754869146745359622,20191103,1572740534,10,16700,321,1,6,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/91619f0979a44c178c8509d69e9b11b9_1572740537~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=NKSCvJ%2B9Lhc2LXxk0oPdKqdY6bk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6752666854537448710,when you don’t feel like learning the words to a tik tok 🥵 @prietymon...,https://www.tiktok.com/@verena.stoerchle/video/6752666854537448710,20191028,1572227781,10,62200,4521,23,215,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/f64d1b122d254952a2cbd341f8d28ab8_1572227783~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=j%2FYjHj7Eqd2SXAb2ZzXPJc02yws%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6752264350863543557,👮‍♀️🚓your local cops #halloween #halloweekend #fyp #foryou #bestcostu...,https://www.tiktok.com/@verena.stoerchle/video/6752264350863543557,20191026,1572134063,13,478600,72400,296,2270,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/298ab0a14fe243b5adcab9d5e939626b_1572134065~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=%2FMhQxB5PUcqOqOAtQSQI0gxu0vc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6751887804575370501,tik tok help me out and do your thing #BringTheSwagBack #dangit #gree...,https://www.tiktok.com/@verena.stoerchle/video/6751887804575370501,20191025,1572046391,15,61900,1475,10,86,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/d224e9a03d8247c2bac147048e50315f_1572046394~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=d9u3x6gkxk8FMJkjMNp9llcsMJQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6746318810329959685,im not a model... but maybe tic tok can make that happen!? #hearmeout...,https://www.tiktok.com/@verena.stoerchle/video/6746318810329959685,20191010,1570749755,15,32700,2279,67,128,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/d5084578a1e946bf8b3ebec48ca23297~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=mJdXnKx0BVsMidOh79g6%2FHCSHGY%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6745143089498688773,get us famous #hoco #homecoming #fyp #foryou #beautyis #rocktober #hi...,https://www.tiktok.com/@verena.stoerchle/video/6745143089498688773,20191007,1570476010,11,23200,673,2,81,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/a924518d6090444a945d5832949c5f38~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=TxhicnjVYzbtCflafHazWqUdIH4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6741325936081325317,got yelled st for this😫 #fyp #makeitawesome #summerfails #foryou #sta...,https://www.tiktok.com/@verena.stoerchle/video/6741325936081325317,20190927,1569587261,15,12400,156,2,6,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/1be29546f74b46daace61bbf454eca93~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=lQ%2BQv8L4YtpIsMcmWpRARf3V9ik%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6719983279417609478,went all the way to france to make this video #foryou #showyouoff #ar...,https://www.tiktok.com/@verena.stoerchle/video/6719983279417609478,20190801,1564618038,8,14900,252,3,13,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/8f0f08b5d64f4276b3d15b2c56f1f65d~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=n9tmE9qYCNSbNEfv%2FfH0onhKZQw%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6713531874750237957,swear my cat loves me #foryou #KickStartYourDreams #area51,https://www.tiktok.com/@verena.stoerchle/video/6713531874750237957,20190714,1563115948,11,8481,89,1,5,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/b26656279638449b952189872d186b2c~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=h%2BY28Rtyxf6Mc%2BjEYQjeAIk9rJU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6709650800097889542,#fyp,https://www.tiktok.com/@verena.stoerchle/video/6709650800097889542,20190704,1562212315,10,3370,50,2,0,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/5aaff22db7654f93a9b58f34c0749d29~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=Ce7xPe9hzrC1dRmZj%2FuMW2RFgec%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6709165826559184134,i think it works #fyp #scarymovies #makemefamous #summerwya,https://www.tiktok.com/@verena.stoerchle/video/6709165826559184134,20190702,1562099398,15,10000,105,0,4,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/1ec8ce2d154c4e6798bca47780db30e7~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=2UfYSpjqHgpICNtlLokXTEThO%2BE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6703681822724721925,painting a new pack every month until i become famous #foryoupage #ma...,https://www.tiktok.com/@verena.stoerchle/video/6703681822724721925,20190618,1560822554,14,7447,87,4,3,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/1b03c7c5e641420dbdc567874b805a71~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=GRiPhkYbiAIpGKgewqH%2FRrWtw3c%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
